event_date,year,cartel_a,cartel_b,fatalities,admin1,location,latitude,longitude,notes
2018-12-09,2018,CJNG,Santa Rosa de Lima,2,Guanajuato,Salamanca,20.5687,-101.1999,"Around 9 December 2018 (as reported), in Salamanca, Guanajuato, two people were killed and their bodies were found dismembered with a narco-message signed by the Jalisco New Generation Cartel in the Ranch 'La Luz'. The victims are alleged members of the Santa Rosa de Lima Cartel. 2 fatalities."
2018-12-11,2018,Fuerza Anti Union,La Union Tepito,1,Ciudad de Mexico,Ciudad de Mexico - Venustiano Carranza,19.4193,-99.1137,"On 11 December 2018, in Colonia Revolucion, Venustiano Carranza, Ciudad de Mexico, members of the Tepito Union Cartel attacked a member of the Fuerza Anti-Union. The victim died in the attack."
2018-12-13,2018,CJNG,Los Viagras,0,Michoacan de Ocampo,Buenavista Tomatlan,19.2117,-102.588,"On 13 December 2018, members of the Jalisco New Generation Cartel and Los Viagras clashed in Buenavista. No victims were reported."
2018-12-16,2018,Sinaloa Cartel,Tijuana,1,Jalisco,Tlajomulco de Zuniga,20.4736,-103.4431,"On 16 December 2018, in Tlajomulco de Zuniga, Jalisco state, the leader of the Cartel Arellano Felix (CAF) in Tijuana was killed. According to the investigating authorities, the Cartel de Sinaloa (CDS) was behind the assassination."
2019-01-19,2019,CJNG,Los Rojos,7,Morelos,Emiliano Zapata,18.8394,-99.1856,"On 19 January 2019 in Emiliano Zapata, Morelos, one woman was shot by several gunshots while having dinner in a restaurant. Hours later, four people were found dead in a car with their hands and feet tied. In colonia El Gante, the bodies of two men who were previously shot were found. According to authorities, this attack is a result of the fight between Los Rojos and Cartel de Jalisco Nueva Gene…"
2019-01-20,2019,CJNG,Los Rojos,2,Morelos,Emiliano Zapata,18.8394,-99.1856,"On 20 January 2019, in Emiliano Zapata, Morelos, a couple was shot several times by unknown attackers. According to authorities, this attack is a result of the fight between Los Rojos and Cartel de Jalisco Nueva Generacion. 2 fatalities."
2019-01-20,2019,CJNG,Los Rojos,1,Morelos,Ciudad Ayala,18.7663,-98.9853,"On 20 January 2019, in Ciudad Ayala, Morelos, a man was found burnt. According to authorities, this attack is a result of the fight between Los Rojos and Cartel de Jalisco Nueva Generacion. 1 fatality."
2019-01-22,2019,CJNG,Los Zetas,4,Zacatecas,Loreto,22.2722,-101.9866,"On 22 January 2019, in Loreto, Zacatecas alleged members of the cartels Jalisco Nueva Generacion and Los Zetas-Talibanes clashed, and four alleged gang members died. 4 dead."
2019-02-05,2019,CJNG,Santa Rosa de Lima,5,Guanajuato,Valle de Santiago,20.3913,-101.1814,"On 5 February 2019, alleged members of the Santa Rosa de Lima Cartel attacked a vulcanizer in the 20 de Noviembre neighbourhood, Valle de Santiago town (Valle de Santiago, Guanajuato), shooting dead 5 people and severely injuring another person, all alleged CJNG members. The police forces believe the events are linked to feuds between gangs engaged in fuel theft."
2019-02-05,2019,Cartel del Noreste,Gulf Cartel (Golfo),1,Nuevo Leon,Monterrey,25.6647,-100.311,"On 5 February 2019, in Monterrey (Nuevo Leon), a dismembered head was found inside a black bag on the streets of Luis Mora and Miguel Nieto. Motive is linked to a dispute between the gangs of Cartel del Noroeste and Cartel del Golfo."
