event_date,year,cartel_a,cartel_b,fatalities,admin1,location,latitude,longitude,notes
2020-07-12,2020,Cartel del Noreste,Gulf Cartel (Golfo),0,Tamaulipas,Ciudad Miguel Aleman,26.401,-99.0261,"On 12 July 2020, in Miguel Aleman municipality, Tamaulipas, members of the North-East cartel, and members of the Gulf Cartel clashed. Neither fatalities nor injured reported."
2020-07-19,2020,Cartel del Noreste,Gulf Cartel (Golfo),4,Tamaulipas,Ciudad Miguel Aleman,26.401,-99.0261,"On 19 July 2020, in Miguel Aleman municipality, Tamaulipas, members of CDN and Gulf Cartel clashed. At least 4 men died. 4 fatalities."
2020-07-21,2020,CJNG,Los Viagras,5,Michoacan de Ocampo,Bonifacio Moreno,18.9881,-102.7131,"Around 21 July 2020 (as reported), in El Aguaje, Michoacan, a video was published showing a clash allegedly between members of the CJNG and Los Viagras. Five men died and a threatening message left by the CJNG was found. 5 fatalities."
2020-07-25,2020,Cartel del Noreste,Gulf Cartel (Golfo),1,Tamaulipas,Ochoa,26.1386,-98.9366,"Around 25 July 2020 (as reported), in Ochoa, Tamaulipas, several videos were published on social networks showing a clash between members of the CDN and the Gulf Cartel. One of the videos shows the burned body of an alleged CDN member. It is not known if there were any more injuries or fatalities. 1 fatality."
2020-07-25,2020,Carteles Unidos,Grupo Elite,0,Michoacan de Ocampo,La Estanzuela,19.1627,-102.9485,"On 25 July 2020, in La Estanzuela, Michoacan, a clash between members of the Grupo Elite and members of the United Cartels was reported on social networks. The authorities have not confirmed the clash and there are no reports of injuries."
2020-07-27,2020,Cartel del Noreste,Gulf Cartel (Golfo),3,Tamaulipas,Ochoa,26.1386,-98.9366,"Around 27 July 2020 (as reported), in Ochoa, Tamaulipas, members of the Gulf Cartel clashed with members of North-East Cartel. The Gulf Cartel published a video showing how they burned the bodies of members of CDN who died in the clash. Unknown fatalities coded as 3."
2020-08-01,2020,CJNG,Carteles Unidos,11,Michoacan de Ocampo,Bonifacio Moreno,18.9881,-102.7131,"On 1 August 2020, between the municipalities of Bonifacio Moreno and Buenavista, Michoacan, the CJNG clashed with the CU on the Aptzingan-Aguililla road, between the communities of El Aguaje and El Tererrero. Roadblocks were also reported. 11 bodies were found."
2020-09-09,2020,CJNG,Los Viagras,1,Michoacan de Ocampo,Bonifacio Moreno,18.9881,-102.7131,"On 9 September 2020, in Bonifacio Moreno, Michoacan, members of Los Viagras clashed with members of CJNG. A video was published by the United Cartel showing dead bodies of alleged members of the CJNG after the clash. One female leader of the CJNG was among the fatalities. At least 1 fatality."
2020-09-15,2020,CJNG,Carteles Unidos,0,Michoacan de Ocampo,Bonifacio Moreno,18.9881,-102.7131,"On 15 September 2020, in Bonifacio Moreno, Michoacan, members of the CJNG clashed with members of the United Cartels. Before the clash, members of the CU had taken the village that was controlled by the CJNG who had to retreat following a security operation of the state forces. The CJNG came back to the community to retake control of it. Neither fatalities nor injuries reported."
2020-09-15,2020,Cartel del Noreste,Gulf Cartel (Golfo),3,Tamaulipas,Ciudad Camargo,26.3167,-98.836,"On 15 September 2020, in Camargo, Tamaulipas, members of CJNG and the Gulf Cartel clashed. Three men died. 3 fatalities."
2020-09-17,2020,CJNG,Santa Rosa de Lima,1,Guanajuato,La Luz Texas,20.4621,-100.7899,"On 17 September 2020, in La Luz Texas, Guanajuato, members of CJNG clashed with members of Santa Rosa de Lima Cartel. One man died and another three were injured. The rest of the men escaped in several vehicles when National Guard officers arrived. 1 fatality."
2020-09-22,2020,CJNG,Sinaloa Cartel,1,Zacatecas,Juan Aldama,24.293,-103.3961,"Around 22 September 2020 (as reported), in Juan Aldama municipality, Zacatecas, a man was killed and his body was found along with a threatening message that accused him of collaborating with the extortions of the CJNG. The message was signed by the Sinaloa Cartel. 1 fatality."
2020-09-23,2020,CJNG,Santa Rosa de Lima,1,Guanajuato,Celaya,20.5215,-100.814,"Around 23 September 2020 (as reported), in Celaya, Guanajuato, a man who allegedly collaborated with Santa Rosa de Lima Cartel was killed and his dismembered body was found inside a box and some plastic bags in Colonia Tres Guerras. A threatening message signed by CJNG was left next to the victim. 1 fatality."
2020-09-23,2020,CJNG,Santa Rosa de Lima,2,Guanajuato,La Luz Texas,20.4621,-100.7899,"On 23 September 2020, in La Luz Texas, Guanajuato, members of the CJNG clashed with members of Santa Rosa de Lima Cartel. Two men died. 2 fatalities."
2020-09-23,2020,Caborca,Gente Nueva,0,Sonora,Altar,30.717,-111.838,"Around 23 September 2020 (as reported), in Altar, Sonora, members of the Caborca Cartel threw a grenade against a vehicle that was driven by members of Gente Nueva Gang. Neither fatalities nor injuries reported."
2020-10-06,2020,CJNG,Santa Rosa de Lima,0,Guanajuato,Yuriria,20.2127,-101.1309,"Around 6 October 2020 (as reported), in Yuriria municipality, Guanajuato, a video was published showing a clash between members of the CJNG and Santa Rosa de Lima Cartel. A civilian was injured by a stray bullet."
2020-10-24,2020,CJNG,Sinaloa Cartel,3,Zacatecas,Villa Hermosa,22.788,-103.2257,"On 24 October 2020, in Villa Hermosa, Zacatecas, a clash between alleged members of the CJNG and the Sinaloa Cartel was reported in which three men died and three were injured."
2020-11-10,2020,Cartel del Noreste,Los Metros,0,Tamaulipas,Guardados de Abajo,26.3656,-98.9374,"On 10 November 2020, in the municipality of Camargo, Tamaulipas, members of the CDN and Los Metros gang, an armed wing of the Gulf Cartel, clashed in various points such as El Cadillo or Guardados. The clashes began after members of the Gulf Cartel (of which Los Metro gang is a part) stole the coffin of a CDN member. It is not known whether there were any injuries. [coded to Guardados de Abajo]"
2020-12-06,2020,CJNG,Los Viagras,2,Michoacan de Ocampo,Tahuejo,19.3189,-101.9592,"On 6 December 2020, in Tahuejo, Michoacan, an armed clash between the CJNG and Los Viagras Gang was reported. The clash was recorded and is circulating on social networks. Two women were killed and at least three were injured."
2020-12-16,2020,CJNG,Sinaloa Cartel,5,Zacatecas,Fresnillo,23.1749,-102.8682,"On 16 December 2020, in Fresnillo municipality, Zacatecas, there was an armed clash between members of the organized crime in San Isidro de Cabrales community. Five armed men died. According to the authorities, the event is allegedly linked to the fight between the Sinaloa Cartel (CDS) and the Jalisco New Generation Cartel (CJNG) that in three days led to 42 people killed. 5 fatalities."
2020-12-17,2020,CJNG,Sinaloa Cartel,2,Zacatecas,Villa Hidalgo,22.354,-101.7137,"Around 17 December 2020 (as reported), in Villa Hidalgo, Zacatecas, two people were killed. According to the authorities, the event is allegedly linked to the fight between the Sinaloa Cartel (CDS) and the Jalisco New Generation Cartel (CJNG) that in three days led to 42 people killed. 2 fatalities."
2020-12-17,2020,CJNG,Sinaloa Cartel,2,Zacatecas,Jerez de Garcia Salinas,22.6494,-102.9899,"On 17 December 2020, in Jerez de Garcia Salinas municipality, Zacatecas, there was an armed clash between two groups of the organized crime in El Salitrillo community. Two armed men died. According to the authorities, the event is allegedly linked to the fight between the Sinaloa Cartel (CDS) and the Jalisco New Generation Cartel (CJNG) that in three days led to 42 people killed. 2 fatalities."
2020-12-22,2020,CJNG,Sinaloa Cartel,0,Zacatecas,Jerez de Garcia Salinas,22.6494,-102.9899,"On 22 December 2020, in Jerez de Garcia Salinas, Zacatecas, there was an armed clash between alleged members of the CJNG and the Sinaloa Cartel. There were videos recorded showing people running away while there was a shooting in the background. The videos were shared on social media. Three people were injured."
2020-12-24,2020,CJNG,Los Viagras,0,Michoacan de Ocampo,Aguililla,18.7342,-102.7884,"On 24 December 2020, in Aguililla municipality, Michoacan, there was an armed clash between the Jalisco New Generation Cartel and Los Viagras in El Aguaje community. The event was recorded on video and shared on social media."
2020-12-30,2020,CJNG,Carteles Unidos,1,Michoacan de Ocampo,Tangancicuaro de Arista,19.8877,-102.2052,"On 30 December 2020, in Tangancicuaro municipality, Michoacan (coded to Tangancicuaro de Arista), there was an armed clash between armed men on the road that connects the town of Gomez Faroas to San Antonio Ocampo. When the police arrived to the area, they found a man killed with his hands and feet tied and gunshot wounds. It is presumed that the clash was between members of CJNG and CU. 1 fatali…"
2021-01-04,2021,CJNG,Santa Rosa de Lima,5,Guanajuato,Leon de los Aldama,21.122,-101.6832,"On 4 January 2021, in Leon de los Aldama, Guanajuato, five people were shot and killed by armed men inside an apartment in Colonia Villa Insurgentes. According to the authorities, this event could be related to the dispute between different organized crime groups, mainly the Jalisco New Generation Cartel and the Santa Rosa de Lima Cartel. 5 fatalities."
2021-01-06,2021,CJNG,Santa Rosa de Lima,1,Guanajuato,Celaya,20.5215,-100.814,"Around 6 January 2021 (as reported), in Celaya, Guanajuato, members of the Jalisco New Generation Cartel torture a woman who was an alleged member of the Santa Rosa de Lima Cartel. The event was recorded on video and share on social media. Her body was later found on December 6, dismembered inside a suitcase and two plastic bags in Colonia Ejidal and in Colonia Paseo de San Nicolas de Parra with…"
2021-01-07,2021,CJNG,Santa Rosa de Lima,9,Guanajuato,Celaya,20.5215,-100.814,"On 7 January 2021, in Celaya, Guanajuato, nine men were shot and killed by armed men who interrupted a funeral and shot at them in barrio de Arboledas de San Rafael. The perpetrators arrived in two cars. One man was shot and injured too. According to the authorities, this event could be related to the dispute between different organized crime groups, mainly the Jalisco New Generation Cartel and t…"
2021-01-15,2021,CJNG,Carteles Unidos,7,Michoacan de Ocampo,Santa Maria Miramar,18.7342,-103.5842,"Around 15 January 2021 (as reported), around Santa Maria Miramar, Michoacan, there was an armed clash between the United Cartels and the Jalisco New Generation Cartel between Santa Maria Miramar and Zapotan. Allegedly 7 members of the United cartels died. 7 fatalities."
2021-01-17,2021,CJNG,Carteles Unidos,13,Michoacan de Ocampo,Donaciano Ojeda,19.4916,-100.2822,"Around 17 January 2021 (between 17 - 18 January), around Donaciano Ojeda, Michoacan, there was an armed clash between members of the CJNG and the United Cartel (CU). Between thirteen to fifteen people were killed and their bodies were found with gunshot wounds along the roads in Valle verde and Donaciano Ojeda. At least 13 fatalities."
2021-01-26,2021,Cartel del Noreste,Gulf Cartel (Golfo),0,Tamaulipas,Ciudad Miguel Aleman,26.401,-99.0261,"Around 26 January 2021 (as reported), in Ciudad Miguel Aleman, Tamaulipas, there was an alleged clash between the Gulf Cartel and the Cartel del Noreste. The shooting was recorded on video and shared on social media. No fatalities reported."
2021-01-29,2021,CJNG,Carteles Unidos,1,Michoacan de Ocampo,Villa Victoria,18.7582,-103.3678,"Around 29 January 2021 (as reported), in the municipality of Chinicuila, Michoacan (coded to Villa Victoria), an armed clash between the CJNG and United Cartels was reported on the Apatzingan-Cuatro Caminos road. A CU member, formally member of The Knights Templar gang was killed. 1 fatality."
2021-02-06,2021,CJNG,Carteles Unidos,8,Michoacan de Ocampo,Aguililla,18.7342,-102.7884,"On 6 February 2021, in Aguililla municipality, Michoacan, there was an armed clash among members of the Jalisco New Generation Cartel (CJNG) and members of the United Cartels (CU) in Palo Dulce and El Aguaje communities. The clash started after members of the CJNG arrived in the municipality. The Aguililla militia and Los Viagras gang joined the CU to fight against the CJNG. Allegedly eight peopl…"
2021-02-10,2021,CJNG,Sinaloa Cartel,2,Zacatecas,Jerez de Garcia Salinas,22.6494,-102.9899,"On 10 February 2021, in the municipality of Jerez, Zacatecas (coded to Jerez de Garcia Salinas), an armed clash between the Sinaloa Cartel and the CJNG was reported between Barrio San Isidro and the rural community of Los Cardos. During the clash, two vehicles were burned and two houses were shot at. Two people died. 2 fatalities."
2021-02-13,2021,Gente Nueva,La Linea,5,Chihuahua,Jose Mariano Jimenez,27.1305,-104.923,"On 13 February 2021, in the municipality of Jimenez, Chihuahua (coded to Jose Mariano Jimenez), an armed clash between criminal groups was reported on the Coronado-Lopez Road. Five people died. At least three of the dead were beheaded and their heads were left on top of vehicles. The clash was between members of Gente Nueva Gang and La Linea gang, according to the report, the clash might be relat…"
2021-02-20,2021,CJNG,Carteles Unidos,3,Michoacan de Ocampo,Tepalcatepec,19.1914,-102.8437,"Around 20 February 2021 (between 19 - 21 February), in Tepalcatepec municipality, Michoacan, there was an armed clash between members of the Jalisco New Generation Cartel (CJNG) and the United Cartels (CU) supported by self-defense groups. The clashes were reported in La Bocanda, Voladeros and la Estanzuela communities. Part of the clashes were recorded on video and shared on social media. At lea…"
2021-02-22,2021,CJNG,Los Viagras,1,Michoacan de Ocampo,Coalcoman de Vazquez Pallares,18.7771,-103.1596,"Around 22 February 2021 (as reported), in Coalcoman de Vazquez Pallares municipality, Michoacan, a member of Los Viagras gang was killed during a clashed with the CJNG in La Bocanda community since 21 February. His body was found wrapped in a blanket on 22 February. 1 fatality."
2021-02-26,2021,Cartel del Noreste,Gulf Cartel (Golfo),0,Tamaulipas,Ciudad Miguel Aleman,26.401,-99.0261,"On 26 February 2021, in Ciudad Miguel Aleman, Tamaulipas, an armed clash between the CDN and the Gulf Cartel was reported. One truck was burned and two pickup trucks were rendered unusable. A video circulated on social networks in which alleged Gulf Cartel members check the vehicles abandoned by the CDN. No reported fatalities nor injuries."
2021-03-01,2021,CJNG,Sinaloa Cartel,2,Zacatecas,Jimenez del Teul,23.2552,-103.7978,"On 1 March 2021, around Jimenez del Teul, Zacatecas, there was an alleged armed clash between members of the Sinaloa Cartel and the Jalisco New Generation Cartel (CJNG) in El Carrizo community. Ten people were injured and two people were killed and their bodies were found in Mezquital community. Allegedly, members of Los Cabrera gang also participated in the clash against the CJNG. 2 fatalities."
2021-03-02,2021,Los Escorpiones,Los Metros,7,Tamaulipas,Reynosa,26.0924,-98.2781,"On 2 March 2021, in Reynosa, Tamaulipas, there was an armed clash between criminal groups in Ejido Corrales. Allegedly, the fight was between two rival factions of the Gulf Cartel, Los Metros and Los Escorpiones. Allegedly, between six to seven men were killed and their bodies were spread around the International Bridge Reynosa-Pharr. According to the authorities, at least six bodies were found w…"
2021-03-02,2021,Cartel del Noreste,Gulf Cartel (Golfo),0,Tamaulipas,Ciudad Miguel Aleman,26.401,-99.0261,"On 2 March 2021, in Ciudad Miguel Aleman, Tamaulipas, there was an alleged armed clash between members of the Gulf Cartel and the Cartel del Noreste (CDN). Parts of the event were recorded on video and shared on social media. No fatalities or injuries were reported."
2021-03-04,2021,CJNG,Sinaloa Cartel,9,Zacatecas,Valparaiso,22.7719,-103.5672,"On 4 March 2021, in Valparaiso municipality, Zacatecas, there was an alleged clash between members of the Jalisco New Generation Cartel (CJNG) against the Sinaloa Cartel and Los Cabrera Cartel. Allegedly nine members of Los Cabrera were killed. A video was recorded and shared on social media. 9 fatalities."
2021-03-12,2021,Cartel del Noreste,Los Metros,10,Nuevo Leon,Doctor Coss,25.9249,-99.1831,"On 12 March 2021, in Doctor Coss, Nuevo Leon, an armed clash between CDN members and Los Metros Gang of the Gulf Cartel was reported. Several 'monster' type armored vehicles were involved in the clash. Between 10 and 15 CDN members were killed."
2021-03-31,2021,CJNG,Santa Rosa de Lima,2,Guanajuato,Celaya,20.5215,-100.814,"Around 31 March 2021 (as reported), in Celaya municipality, Guanajuato, around two to five human bodies allegedly belonging to members of the CJNG were found dismembered in six locations around La Cruz community, Rincon de Tamayo and in Colonias Bugambilias, Rancho Seco and Praderas de la Hacienda and in Trebol de los Apaseos. Two messages were left signed by the Santa Rosa de Lima cartel against…"
2021-04-01,2021,CJNG,Carteles Unidos,8,Michoacan de Ocampo,Aguililla,18.7342,-102.7884,"On 1 April 2021, in Aguililla, Michoacan, there was an armed clash between members of the Jalisco New Generation Cartel (CJNG) against the United Cartels, supported by armed groups and local armed residents. Between 7-8 people were killed and beheaded and found in Colonia Las Enramadas. According to some reports, there could have been up to 27 people killed. However, only 8 were reported by the a…"
2021-04-02,2021,CJNG,Sinaloa Cartel,3,Zacatecas,Tepetongo,22.4612,-103.1479,"On 2 April 2021, in Tepetongo, Zacatecas, dozens of members of the Jalisco Cartel New Generation (CJNG) and the Sinaloa Cartel clashed. According to the report, there were deaths, although it is not known how many, as the bodies were removed by the gang members. Unknown number of fatalities coded as 3."
2021-04-06,2021,CJNG,Sinaloa Cartel,1,Jalisco,Teocaltiche,21.436,-102.5726,"On 6 April 2021, in Teocaltiche, Jalisco, allegedly, there was an armed clash between at least 30 members of the Jalisco New Generation Cartel and the Sinaloa Cartel. Part of the event was recorded on video and shared on social media. At least one person was killed. 1 fatality."
2021-04-06,2021,CJNG,Carteles Unidos,0,Michoacan de Ocampo,Uruapan,19.4209,-102.0628,"On 6 April 2021, in Uruapan, Michoacan, there was an armed clash between members of the Jalisco New Generation Cartel (CJNG) and members of the United Cartels in Colonia Arroyo Colorado. During the clash they took over a public bus and a cargo truck to set a (narco) roadblock from Uruapan to Gabriel Zamora. No casualties occurred."
2021-04-15,2021,CJNG,Carteles Unidos,0,Michoacan de Ocampo,Bonifacio Moreno,18.9881,-102.7131,"On 15 April 2021, in Bonifacio Moreno, Michoacan de Ocampo, an armed clash between the CJNG and CU was reported. The clash between the two cartels was recorded and circulated on social networks. No injuries nor fatalities reported."
2021-04-16,2021,CJNG,Santa Rosa de Lima,1,Guanajuato,Apaseo el Grande,20.5453,-100.6882,"Around 16 April 2021 (as reported), in Apaseo el Grande, Guanajuato, a woman who was an alleged member of the Santa Rosa de Lima Cartel was killed. A message signed by the Jalisco New Generation Cartel was left near her body. 1 fatality."
2021-04-24,2021,Gulf Cartel (Golfo),Los Zetas,10,Tamaulipas,Ciudad Camargo,26.3167,-98.836,"On 24 April 2021, in the municipality of Camargo, Tamaulipas (coded to Ciudad Camargo), an armed clash between alleged members of the Gulf Cartel and members of Los Zetas and the Cartel del Noreste was reported. Between 6 and 2 vehicles were burnt. 10 people died and their bodies were partially burnt. One of the victims was beheaded and his/her head was left along with a graffiti stating 'CDN'. 1…"
2021-05-01,2021,CJNG,Los Correa,7,Michoacan de Ocampo,San Antonio Villalongin,19.5346,-100.7527,"On 1 May 2021, in San Antonio Villalongin, Michoacan, there was an armed clash between the Jalisco New Generation Cartel (CJNG) and Los Correa gang after the CJNG made an incursion into Ciudad Hidalgo which is the home base of Los Correa gang members. According to local sources, seven men of Los Correa were killed. 7 fatalities."
2021-05-02,2021,CJNG,Sinaloa Cartel,3,Zacatecas,Zacatecas,22.7761,-102.5718,"Around 2 May 2021 (weekend of), in Zacatecas state, members of the Jalisco New Generation Cartel (CJNG) released a video with corpses stacked on top of one another to send a threat against the Sinaloa Cartel (CDS). The video was shared on social media but has been deleted by several platforms since its release. Unknown number of fatalities coded as 3."
2021-05-07,2021,CJNG,Sinaloa Cartel,1,Jalisco,Teocaltiche,21.436,-102.5726,"On 7 May 2021, in the municipality of Teocaltiche, Jalisco, several armed clashes between organized crime groups were reported at the border between Jalisco and Zacatecas. After the clash, 9 vehicles were found, two of them burned, and one man was found dead and handcuffed. A house was also burned. Following the armed clash, around 300 residents of El Saucito, El Rosario, Rancho Mayor and Rancho…"
2021-05-19,2021,CJNG,Santa Rosa de Lima,1,Guanajuato,Celaya,20.5215,-100.814,"Around 19 May 2021 (as reported), in the outskirts of Celaya, Guanajuato, a dismembered body was found in a plastic bag on the Panamerican highway. A narco message was left next to the body signed by M1. M1 is a signature allegedly used by hitmen of El Marro (Santa Rosa de Lima Cartel). The victim was allegedly member of the CJNG and went missing days before. 1 fatality."
2021-05-19,2021,CJNG,Carteles Unidos,0,Michoacan de Ocampo,Aguililla,18.7342,-102.7884,"On 19 May 2021, in Aguililla, Michoacan, residents reported armed clashes between the CNJG and the CU. No fatalities nor injuries occurred."
2021-05-28,2021,CJNG,Sinaloa Cartel,0,Baja California,El Porvenir (Guadalupe),32.0759,-116.6268,"On 28 May 2021, in El Porvenir (Guadalupe), Baja California, alleged CJNG members attacked the house of a member of the Sinaloa Cartel near the Agua de Vid vineyard. No victims were found after the clash, although there were traces of blood. No injuries or fatalities reported by the source."
2021-05-30,2021,CJNG,Sinaloa Cartel,1,Baja California,Ignacio Zaragoza,32.195,-116.4854,"On 30 May 2021, in Ignacio Zaragoza, Baja California, two members of the Sinaloa Cartel shot at a group of people attending a family party. An alleged CJNG member was killed and at least 5 people were injured. 1 fatality."
2021-06-03,2021,CJNG,Los Viagras,0,Michoacan de Ocampo,Division del Norte,19.0811,-102.6123,"On 3 June 2021, in Division del Norte, Michoacan de Ocampo, CJNG members dug ditches on the Aguililla-Apatzingan highway to set a (narco) roadblock. The CJNG took over the town that was under the control of Los Viagras and then set the (narco) roadblock."
2021-06-06,2021,CJNG,Los Viagras,1,Michoacan de Ocampo,Buenavista Tomatlan,19.2117,-102.588,"Around 6 June 2021 (as reported), in Buenavista Tomatlan, Michoacan, a man was killed and his body was found along with a message signed by Los Viagra gang. The victim was an alleged member of the CJNG. 1 fatality."
2021-06-06,2021,CJNG,Carteles Unidos,0,Michoacan de Ocampo,Morelia,19.7034,-101.192,"On 6 June 2021, in the state of Michoacan (coded to Morelia), an armed clash between alleged members of the CJNG and United Cartels was reported. No fatalities or injuries reported by the source."
2021-06-12,2021,CJNG,Sinaloa Cartel,13,Durango,San Francisco del Mezquital,23.4742,-104.3946,"On 12 June 2021, around San Francisco del Mezquital, Durango, there was an alleged armed clash between members of the Jalisco New Generation Cartel and the Sinaloa Cartel. Allegedly, 12 men were killed and a catholic priest was shot and killed by a stray bullet during the confrontation between Valparaiso, Zacatecas and Mezquital, Durango. 13 fatalities."
2021-06-13,2021,CJNG,Carteles Unidos,4,Michoacan de Ocampo,Tarecuato,19.8435,-102.4646,"On 13 June 2021, around Tarecuato, Michoacan, there was an armed clash between alleged members of the Jalisco New generation Cartel and the United Cartel. Four men were killed. 4 fatalities."
2021-06-24,2021,CJNG,Sinaloa Cartel,35,Zacatecas,San Juan Capistrano,22.6428,-104.1001,"Around 24 June 2021 (between 24 - 25 June), in San Juan Capistrano, Zacatecas, there was an armed clash between members of the Jalisco New Generation Cartel (CJNG) and the Sinaloa Cartel. According to the authorities between 18 to 35 men were killed. Vehicles were set on fire. Men were also found burned. 35 fatalities."
2021-06-25,2021,Gente Nueva,La Linea,3,Chihuahua,Dolores,25.9818,-107.1702,"On 25 June 2021, in Dolores, Coahuila, there was an alleged armed clash between La Linea gang and Gente Nueva Gang. An unknown number of people were killed and several were injured. The event was recorded on video and shared on social media. Unknown number of fatalities coded as 3."
2021-06-29,2021,Cartel del Noreste,Gulf Cartel (Golfo),9,Tamaulipas,Los Guerra,26.3914,-99.0793,"On 29 June 2021, in Los Guerra, Tamaulipas, there was an armed clash between members of criminal groups. There are several versions, the main version is that that the clash was between the Gulf Cartel and Cartel del Noreste. However, there is another version that suggest that the clash was between the Noreste Cartel and Los Metros Gang which had the support of the CJNG. Nine men were killed. Thei…"
2021-07-13,2021,Los Chapitos (Sinaloa),Sinaloa Cartel,1,Sinaloa,El Tepuche,24.9427,-107.3496,"On 13 July 2021, near El Tepuche, Sinaloa, there was an alleged armed clash between armed men on the way to Tecolotes. As they were fleeing, armed individuals stopped an ambulance and forced the medical personnel to treat the injured members and transfer them to hospitals. Some reports stated that the clash was between members of Los Chapitos and members of the Sinaloa Cartel. A man was killed. U…"
2021-08-17,2021,Cartel del Noreste,Gulf Cartel (Golfo),0,Tamaulipas,Ciudad Miguel Aleman,26.401,-99.0261,"On 17 August 2021, in Miguel Aleman municipality (coded to Ciudad Miguel Aleman), Tamaulipas, there was an armed clash between members of the Cartel del Noreste (CDN) and the Gulf Cartel around colonias La Rodriguez, El Mirador and fraccionamiento Linda Vista. Members of the CDN entered through the Mier-Miguel Aleman highway. Upon entering, the gunmen began firing their weapons into the air and a…"
2021-08-28,2021,CJNG,Sinaloa Cartel,4,Zacatecas,Jerez de Garcia Salinas,22.6494,-102.9899,"On 28 August 2021, close to Jerez de Garcia Salinas, Zacatecas, an armed clash between CJNG and the Sinaloa Cartel was reported in Juancho Rey area. Police officers found three trucks with gunshots and four bodies in the area. 4 fatalities."
2021-09-02,2021,CJNG,Sinaloa Cartel,3,Zacatecas,Nochistlan de Mejia,21.364,-102.8468,"On 2 September 2021, around Nochistlan de Mejia, Zacatecas, there was an armed clash between members of the Jalisco New Generation Cartel (CJNG) and the Sinaloa Cartel (CDS) between Nochistlan and Apulco municipalities. Two men and a woman were killed. 3 fatalities."
2021-09-13,2021,CJNG,Sinaloa Cartel,21,Zacatecas,Valparaiso,22.7719,-103.5672,"On 13 September 2021, in Valparaiso municipality, Zacatecas, there was an alleged clash between members of the Sinaloa Cartel and the Jalisco New Generation Cartel (CJNG) in La Florida community. According to the residents, at least 21 men were killed. However, this information was not confirmed by the authorities. At least 21 fatalities."
2021-09-20,2021,Cartel del Noreste,Los Metros,0,Tamaulipas,Ciudad Miguel Aleman,26.401,-99.0261,"On 20 September 2021, near Miguel Aleman municipality, Tamaulipas (coded to Ciudad Miguel Aleman), there was an alleged armed clash between alleged members of CDN and Los Metros Gang around La Riberena highway. Several trucks were set on fire. Casualties unknown."
2021-09-27,2021,Cartel del Noreste,Gulf Cartel (Golfo),1,Tamaulipas,Ciudad Victoria,23.7311,-99.1513,"Around 27 September 2021 (as reported), in Ciudad Victoria, Tamaulipas, the alleged leader of the Gulf Cartel was killed and only his head and one hand were left inside a cooler by alleged members of the Noreste Cartel and Los Zetas. The victim was a the leader of the operation of the Gulf Cartel in Ciudad Mante. 1 fatality."
2021-10-01,2021,CJNG,Los Viagras,2,Michoacan de Ocampo,Lombardia,19.1598,-102.054,"On 1 October 2021, in Lombardia, Michoacan, allegedly the leader of Los Viagras and his son were killed by members of the Jalisco New Generation Cartel (CJNG). 2 fatalities."
2021-10-15,2021,Cartel del Noreste,Gulf Cartel (Golfo),2,Nuevo Leon,Doctor Coss,25.9249,-99.1831,"On 15 October 2021, in Doctor Coss municipality, Nuevo Leon, there was an armed clash between the Gulf cartel and the Cartel del Noreste on the Pena Blanca-Ciudad Camargo highway. Between 2-4 people were killed and found burned. At least 2 fatalities."
2021-10-20,2021,Los Chapitos (Sinaloa),Los Rusos,1,Sinaloa,Agua Caliente de los Monzon,24.9327,-107.3849,"On 20 October 2021, in Agua Caliente de los Monzon, Sinaloa, an armed clash between factions of the Sinaloa Cartel, Los Rusos and Los Chapitos, was reported at a cartel safehouse resulting in the death of one woman. Residents reported the incident prompting the arrival of police. 1 fatality."
2021-11-20,2021,Los Ardillos,Los Tlacos,0,Guerrero,Chilpancingo de los Bravo,17.5516,-99.5011,"On 20 November 2021, in Chilpancingo de los Bravo, Guerrero, shootings were registered between armed groups. The report claims the shooting is between Los Tlacos and Los Ardillos to control areas for extortion. The violence between both groups has intensified since the new Mayor took his office on 30 September. Unknown casualties."
2021-11-21,2021,Los Ardillos,Los Tlacos,0,Guerrero,Chilpancingo de los Bravo,17.5516,-99.5011,"On 21 November 2021, in Chilpancingo de los Bravo, Guerrero, shootings were registered between armed groups. The report claims the shooting is between Los Tlacos and Los Ardillos to control areas for extortion. The violence between both groups has intensified since the new Mayor took his office on 30 September. Unknown casualties."
2021-11-26,2021,CJNG,Sinaloa Cartel,0,Zacatecas,Fresnillo,23.1749,-102.8682,"On 26 November 2021, around Fresnillo and Valparaiso, Zacatecas, there was an armed clash between members of the Jalisco New generation Cartel (CJNG) and the Sinaloa Cartel. Casualties unknown."
2021-12-06,2021,CJNG,Sinaloa Cartel,0,Jalisco,Teocaltiche,21.436,-102.5726,"On 6 December 2021, close to Teocaltiche, Jalisco, a clash between the CJNG and the Sinaloa Cartel was reported on the highway Teocalitiche-Nochistlan. Casualties unknown."
2021-12-06,2021,CJNG,Sinaloa Cartel,0,Jalisco,Huejotitlan,21.3907,-102.6369,"On 6 December 2021, around Huejotitlan, Jalisco, there was an armed clash between members of the Jalisco New Generation Cartel (CJNG) and the Sinaloa Cartel between Mazcua and Hacienda Vieja communities. Casualties unknown."
2021-12-08,2021,CJNG,Sinaloa Cartel,7,Jalisco,La Hacienda Vieja,21.3714,-102.6071,"On 8 December 2021, around La Hacienda Vieja, Jalisco, there was an armed clash between members of the Jalisco New Generation Cartel (CJNG) and the Sinaloa Cartel between Mazcua and Hacienda Vieja communities. Seven men were killed and found inside a vehicle. According to a source, three were even burned. 7 fatalities."
